,ent1,ent2,relation
1560,five  who,five  years,aged less
1561,2014 year air pollution,premature  death,estimated
1562,2019  number,,indicated
1563,India,highest death rate,has
1564,India,more  deaths,has more
1565,December 2013 air pollution,"500,000  people",estimated
1566,,,is
1567,European  deaths,,estimated
1568,nitrogen dioxide,,document
1569,European Union air pollution,life expectancy,estimated
1570,Causes,deaths  strokes,include
1571,outdoor air pollution,,estimated
1572,Children,,risk
1573,proposed  set,,estimated
1574,Guidelines,premature ozone deaths,estimated
1575,agency,million  cases,projected
1576,assessment  EPA,public Air Quality Standards,acted
1577,year air pollution levels,federal  standards,shows
1578,area auto which,,higher
1579,shortly guideline WHO,guidelines,found
1580,largest  cause,mostly fuel combustion production,causes
1581,Diesel exhaust,,contributor
1582,well-validated exposure chamber DE,dysfunction thrombus formation,linked
1583,MechanismsThe mechanisms,pulmonary air inflammation,uncertain
1584,"65,000 vehicle deaths",,occur
1585,excess 10.2 deaths,spatial resolution model,concluded
1586,pollutant risk levels,,found
1587,women air pollution,,found
1588,Air pollution,,found
1589,effects,,believed
1590,Lung disease Research,increased  asthma,demonstrated
1591,Additionally air pollution,,associated
1592,pulmonary  disease,diseases,includes
1593,study,three London towns,compared
1594,subjects,,drivers aged
1595,towns London subjects,respiratory  symptoms,exhibited
1596,differences,,pronounced
1597,so air pollution,,concluded
1598,children lung function,traffic lung function development,shown
1599,Air pollution exposure,also lung cancer,cause
1600,It,,believed
1601,urban areas patients,lower mucus levels,shown
1602,long-term risk exposure,overall  risk,found solid
1603,Exposure,,associated
1604,further  living,,noted
1605,lung cancer lung data,solid  conclusions,found suggestive
1606,higher activity level,heavy deposition activities,showed
1607,patients lung who,increased  risk,found
1608,study  association,,higher
1609,additional Danish study,likewise  evidence,noted
1610,5 μg/m3 decrease,,estimated
1611,which areas — concentration,federal air standards,living
1612,dangerous  pollutants,criteria pollutants criteria ozone,known
1613,where New buses,pea-soup  smog,measures
1614,Europe  exposure,particles blood pressure,found
1615,polluted WHO air,,leads
1616,exposure Prenatal exposure exposure,,linked
1617,example  exposure,,associated
1618,health outcomes health that,,lead
1619,PAHs,role,found
1620,Researchers,also  evidence,begun
1621,Los Angeles Los who,,likely
1622,connection,,thought
1623,PAHs,,considered endocrine
1624,adipose tissue adipose they,,transferred
1625,Infants Ambient Infants levels,,associated
1626,worldwide  survey,significant  association,found
1627,Women,higher PM2.5 odds,had
1628,effect,oxidative  stress,thought
1629,globally preterm which,,found
1630,,,countries
1631,source,,differs
1632,cooking biomass which,,exposed
1633,fine West sub-Saharan PM,,comes
1634,1988 et 1991,correlation,had
1635,group,,monitored
1636,estimated  reduction,,g
1637,summer  summer,,significant
1638,proportion,,%
1639,This,,risk
1640,which,,stoves
1641,Brauer,woman Vancouver exposure,studied
1642,Exposure,,associated
1643,large  number,more  birth,likely
1644,who,higher mortality rates,found
1645,small Columbia Lung improvement,PM2.5 ozone $,showed
1646,finding,,based
1647,boundary layer air,,found
1648,air pollution exposure,nervous  system,accumulating
1649,early  exposure,same damaging changes,discovered
1650,also air pollution,short-term  memory,shows
1651,that,normally  them,said
1652,developing brain ventricles,simply  space,appears
1653,mice air pollution,negative  effect,add
1654,test subjects test who,detection,reported
1655,laboratory atmospheres laboratory that,those,measured
1656,used software simulation which,situation assessment initiative,evaluated
1657,compounds carbon keeping,other  factors,observed
1658,highest impurity levels,,uncommon
1659,Air pollution,risk,increases
1660,air pollution,carbon crop yields,reported
1661,Air pollution,world economy,costs
1662,productivity losses,,caused
1663,air pollution air problem,,caused
1664,world  Children,,likely
1665,actual health costs,,states
1666,Artificial air pollution,,detectable
1667,It,extraterrestrial  civilizations,possible
1668,Historical  disasters,civilian pollution crisis,Disaster
1669,industrial  vapours,3787 Dow Chemical people,killed
1670,4 December Great Smog,worst air pollution event,suffered
1671,recent  estimates,figure,died
1672,accidental  leak,64 warfare deaths,believed
1673,"over  7,000",,occurred
1674,similar infrastructure decisions,particulate Areas emissions,are
1675,however altitude this,ground level benefits,reduce
1676,Ship propulsion,,switched
1677,Combustion,space heating source heat pumps,replaced
1678,Electric power generation,,replaced
1679,that,much,replaced
1680,Motor vehicles,,replaced
1681,lithium supply,,are
1682,Herding,more  people,help
1683,vehicles rubber tires,air pollution air themselves,produce significant
1684,Reducing,vehicles  pollution,curb
1685,congestion tax PM10 pollution,pediatric asthma attacks,declined
1686,where  slash,useless  commodity,utilized
1687,authority  that,needed  energy,gathered
1688,spaces air which,greatly air pollution,dampen
1689,Reduction,Various air pollution,efforts Various
1690,land-use  planning,infrastructure planning,likely
1691,policy  land,as  environment,part
1692,coal fossil reduction,fuels air pollution,reduce
1693,solar hydro which,air pollution,switch
1694,developing  countries,string farm trimmers,includes primary
1695,Titanium dioxide,ability air pollution,researched
1696,free  which,VOCs,release free
1697,One  form,,superhydrophilic
1698,2014 Prof. Tony Ryan,10 Prof. Simon meter,prepared
1699,giant  poster,toxic  emission,absorb
1700,effective  means,air pollution,transition
1701,2050 United biomass,premature United mortalities,eliminate
1702,This,about  $,save
1703,Air quality improvement,,benefit
1704,limited  efforts,particulate matter,is limited
1705,following  items,,devices
1706,exhaust stream exhaust it,them,destroy
1707,Monitoring,air quality air quality,necessary
1708,Such  monitoring,mobile IoT sensors,done
1709,Regulations,,are
1710,first  class,atmospheric Air Quality concentrations,set maximum
1711,Environmental agencies enact which,,regulations
1712,thresholds air quality which,relative  risk,take
1713,scale,,may
1714,Canada,,measured
1715,It,air pollution activity levels,tool
1716,AQHI,,program
1717,However AQHI program,,possible
1718,local community partners,,responsible
1719,AQHI,10  level,provides
1720,abnormally air number,10,exceed
1721,local air quality maximums,associated health advice,provides
1722,population air index,greater health precautions,developed
1723,very health that,exposure,describes
1724,measurement,,based
1725,Significantly  three,pollutants health risks,pose
1726,original Health analysis,major air pollutants,included
1727,two  pollutants,little health effects,provided little
1728,AQHI,effects,measure
1729,Germany TA Luft,,regulation
1730,where air pollution emissions,individuals,areas
1731,They,,common
1732,Emissions,respiratory  disease,cause respiratory
1733,diesel soot diesel which,,problem
1734,It,lungs  bloodstream,small
1735,areas  one,,concentrated
1736,populations  groups,hotspots  variety,affect
1737,Previous  studies,disparities,shown
1738,where property values,toxic  storage,uses
1739,socioeconomic  status,ability  regulation,proxy
1740,communities,more health risks,bear
1741,race  disparities,higher  exposure,show
1742,Communities,,vulnerable
1743,Blacks,higher  burden,face more
1744,Racial  discrepancies,,distinct
1745,housing  who,,affected
1746,environmental  regulations,,concentrated
1747,populated  areas,two Los examples,attain unhealthy
1748,,,doubled
1749,smokers lung cancer rates,,falling
1750,short term action that,compliance,ruled
1751,important case law,nation-states air pollution control,appears
1752,It,national air interests,places
1753,2010 European Commission,UK,threatened
1754,they,nation upwards,identified
1755,2011 London Built-up Area,3 Air Quality Directive,remains
1756,City,3000 PM10 deaths,has dangerous
1757,western congestion charge which,western congestion charge zone,threatened
1758,great nation city,London  government,criticised
1759,recognition  cities,global governance networks,interpreted
1760,Transnational  relations,sub-national  actors,include
1761,Particularly  promising,,partnerships
1762,which Climate Leadership London,,built
1763,cities  that,greenhouse emissions,network
1764,C40,,identified
1765,It,consequently carbon dioxide emissions,has
1766,exclusive C40 nature,cities  resources,is
1767,Projections,,generated
1768,Potential  contributors,burning  activities,include
1769,,,projected
1770,,Global warming portal,See
1771,,,Selections
1772,,,Part
1773,,,Journal
1774,,,351–67
1775,,,doi:10.1504/ijep.2005.007599
1776,Cherni,Efficiency Smoke Abatement Campaign,Breathe
1777,,,Magazine
1778,,,3
1779,,,Grinder
1780,,,83–103
1781,,Gary Fuller Tim Air,Mingle
1782,,,LXVI
1783,lungs  they,lungs  alveoli,cross
1784,They,olfactory  nerve,travel
1785,They,arteries blood likelihood,form
1786,[T]hey,pulmonary air pollution exposure,'s
1787,,,chimney
1788,,,Routledge
1789,External Air You,Quality Archived Air Quality December,links
1790,Air > Air Quality Database,United Kingdom UK Committee,>
1791,medicine United which,pulmonology,association
1792,group,,founded
1793,Five Things Physicians,Question,See
1794,,Wisely  initiative,Choosing
1795,,,College
1796,medicine  test,6,Retrieved
1797,Nuys Allen Van Nuys who,original  version,named
1798,altered  test,original Irving S method,replaced
1799,alternative  method,,referred
1800,Allen  patient,fists,performed
1801,Pressure,simultaneously  them,applied
1802,rapidly  examiner,colour,opens
1803,initial  pallor,,replaced
1804,test,ulnar  arteries,repeated
1805,,,looks
1806,quickly  test,normal  circulation,considered
1807,this,degree,suggests
1808,patient,fist,examined
1809,Pressure,radial  both,applied
1810,Still  hand,,opened
1811,pallor,blanched,appear
1812,colour,,released
1813,test,,considered
1814,ulnar artery supply,,considered abnormal
1815,it,radial  artery,indicates
1816,normal Allen test,,is
1817,perhaps  words,result,best
1818,hand,,supplied
1819,arteries,,join
1820,other  artery,adequate  blood,supply adequate
1821,minority,dual blood supply,lack
1822,uncommon Significance complication,clot blood hand,disruption
1823,who,dual  supply,risk
1824,risk,modified test beforehand,reduced
1825,who,other blood blood,have
1826,modified  test,,performed
1827,bypass surgery patency lasts,,used
1828,bypass surgery heart bypass test,suitability,performed
1829,result,,considered
1830,result,,equivocal
1831,direct  correlation,,questionable
1832,25 artery %,radial artery cannulations,reviewed
1833,ischemic  sequelae,,published
1834,addition  results,,appear
1835,Further  modifications,test  reliability,proposed
1836,nonprofit American Thoracic organization,American Thoracic Society,==
1837,It,Sanatorium Association American Sanatorium name,established
1838,1960  it,name,changed
1839,Lung Association American Lung Society,,became
1840,,,areas
1841,32 healthcare whom,,physicians
1842,Assemblies,interests,represented
1843,goal  chapter,state,represents
1844,ATS,also  members,works
1845,Publications,medical education credits,offers
1846,ATS,,advocates
1847,Society,global Clean Air Act,involved
1848,Patient Information Series,,available
1849,that,other  embryos,See
1850,amniotic  that,protective  environment,fills
1851,chorion yolk sac,embryo,protect
1852,protective  sac,,enclosed
1853,placental  it,,enclosed
1854,term,,diminutive
1855,it,yean English young,cognate
1856,vertebrate clade vertebrate which,reptiles,feature
1857,Amphibians,thus  amnion,amniotes
1858,amnion,,stems
1859,amnion,,observed
1860,amniotic  floor,,roofed
1861,mesoderm  which,,layer
1862,first  amnion,,begins
1863,extra-embryonic  part,quantity  amnion,increases
1864,pregnancy  it,,increases
1865,amniotic  fluid,also  risk,allows
1866,It,small percent amount,contains less
1867,epidermal liquor debris,,swallowed
1868,rare  that,,condition
1869,digestive  tube,somatopleure  place,takes
1870,different cephalic parts,amniotic dorsal cavity,makes
1871,kind,,known
1872,two  layers,inner  amnion,become
1873,amnion  serosa,extra-embryonic  celom,constitutes
1874,it,it,cuts
1875,allantois  which,inner  surface,continued
1876,amniotic  membrane,incurable  wounds,consists
1877,amniotic  membrane,,collected
1878,HIV  blood,products  transmission,tested
1879,Products,usually  sterility,pass
1880,abnormal  proteins,Foeto-Amnio-Placental Female complex,See
1881,symptoms  signs,tongue weight faint,are several
1882,,,are
1883,others,,genetic
1884,They,,grouped
1885,nerves  it,,chain
1886,Diagnosis,,confirmed
1887,presentation  diagnosis,often  time,take
1888,Treatment,amount,geared
1889,This,underlying  cause,achieved
1890,AL amyloidosis,,occurs
1891,usual  age,,old
1892,treatment life expectancy,,months
1893,"1,000  people",,die
1894,Amyloidosis,,described
1895,Signs,presentation,broad
1896,kidney,,organs
1897,nephrotic  which,nephrotic  syndrome,cause nephrotic
1898,nephrotic  syndrome,biochemical blood urea markers,occurs
1899,AA amyloidosis AA kidneys,,involved
1900,Heart Amyloid deposition,heart heart failure,cause
1901,EKG changes,low  abnormalities,present
1902,echocardiography  heart,restrictive filling pattern,shows
1903,AA amyloidosis,usually  heart,spares
1904,Cardiac  amyloidosis,,present
1905,normal  which,heart function,affect
1906,Brain People,sensory system neuropathies,get central
1907,Sensory  neuropathy,,develops
1908,Autonomic  neuropathy,,present
1909,liver injury liver which,,lead
1910,Liver enlargement,,common
1911,contrast spleen enlargement,,rare
1912,Splenic  dysfunction,,occurs
1913,Malabsorption,,seen
1914,food,sprue-like  picture,suggested
1915,thyroid glands,,infiltrated
1916,10–20  %,amyloidosis  hypothyroidism,estimated
1917,this,,harder
1918,amyloid polypeptide islet amyloid This,joint system Amyloid pain,stored
1919,old age deposition,,is significant
1920,2-microglobulin amyloidosis beta 2-microglobulin males,carpal tunnel syndrome,have high
1921,Aβ2MG amyloidosis,chronic Hemodialysis inflammation,tends
1922,light chains deposition,enlarged shoulder shoulders,causes enlarged
1923,light chain depositions,symmetric  polyarthritis,cause bilateral
1924,deposition,bone marrow plasma cell dyscrasias,called
1925,It,,found
1926,Those,,presented
1927,Vertebral  fractures,,common
1928,clotting factor that,function,purpura
1929,Oral cavity Amyloid deposits,tissue  enlargement,cause
1930,enlarged AL that,enlarged AL tongue,have
1931,Tongue enlargement,ATTR amyloidosis,occur
1932,Deposition,throat  hoarseness,cause
1933,Pathogenesis Amyloidoses,,considered
1934,amyloid misfolding,amyloid proteins,secreted
1935,only amyloid four,,cytosolic
1936,amyloid-forming  proteins,disease-associated  amyloids,small
1937,One   third,,hereditary
1938,cases protein aggregation,late  age,sporadic
1939,medical  treatments,,associated
1940,Amyloid-forming  proteins,,aggregate
1941,process,oligomeric amyloid forms,thought
1942,oligomers fibrils,,toxic
1943,protein organ system,,depend
1944,Diagnosis Diagnosis,generally tissue biopsy,requires
1945,biopsy,,assessed
1946,tissue,,treated
1947,amyloid  proteins,apple-green,red
1948,Also thioflavin T stain,,used
1949,DPD scan DPD SAP,,use
1950,first-line  site,,biopsied
1951,negative  result,diagnosis,sensitive
1952,salivary bone marrow which,diagnosis,unnecessary
1953,,,be
1954,,,be low
1955,light chain binding,,determined
1956,Immunohistochemistry,many AA cases,identify
1957,Laser microdissection,different  forms,method
1958,amyloidosis  diagnosis,aberrant memory B immunoglobulins,form
1959,Immunofixation electrophoresis,,positive
1960,Immunofixation electrophoresis,,sensitive
1961,immunohistochemical  staining,,sought
1962,neuropathies heart who,evidence,suspected
1963,isoelectric  which,mutated  forms,identified
1964,transthyretin  that,,corroborated
1965,AA,,suspected
1966,AA,,identified
1967,Classification Historical classification systems,,based
1968,1970s  idea,,predominated
1969,descriptive classification systems,,proposed based
1970,clinical  condition,idiopathic  amyloidosis,included primary
1971,classification systems,amyloidosis,included myeloma-associated
1972,methods amyloid fibrils,,began
1973,methods,chemical  properties,permitted
1974,secondary senile which,useful  information,provide little
1975,example letter amyloidosis,majority,tends
1976,Deposition patterns,,vary
1977,Deposition,different organ systems,systemic
1978,Many  amyloidoses,,inherited
1979,amyloid  proteins,overabundant protein production –,due
1980,least  36,,associated
1981,names,,start
1982,animal fibril animal proteins,,is
1983,Systemic  amyloidoses,one body organ,refers
1984,m. Localised m. amyloidoses,one body organ,affect
1985,Aβ,,primary
1986,Primary  amyloidoses,,arise
1987,reactive  amyloidoses,,occur
1988,Examples,,amyloidosis
1989,it,,divided
1990,amyloidosis  that,,depends
1991,Treatment,cell transplantation stem cell promise,shown
1992,20–25  %,,eligible
1993,Chemotherapy,,treatment
1994,underlying  condition,,improve
1995,trial phase it,renal  polymerization,slowed renal
1996,Management,,depend
1997,toxicity oral toxicity that,destabilization,treated
1998,tafamidis,mortality,showed
1999,ATTR amyloidosis liver transplant,,treatment
2000,anti-inflammatory  which,early protein promises,shown early
2001,two  drugs,benefit,shown
2002,However  role,,investigated
2003,2018  patisiran,,recommended
2004,further  review,,occurring
2005,It,,approved
2006,patisiran Support People,patisiran Support groups,approved
2007,Prognosis Prognosis,,varies
2008,Prognosis,,poor
2009,specifically AL amyloidosis,,classified
2010,recent  advancements,median survival rates,improved median
2011,Outcomes,,depend
2012,People,better  prognosis,have
2013,110  who,,determined
2014,Epidemiology Amyloidosis,estimated  prevalence,has
2015,diagnosis  64.AL,highest  incidence,has
2016,AA amyloidoses,longstanding  infections,form
2017,west  AA,,likely
2018,common  causes,,arthritis
2019,complex HLA which,14–15  amyloidosis,develop
2020,Senile amyloidosis,,found
2021,antisense  former,recently FDA approval,received
2022,therapeutic misfolding agents,misfolding protein,compared
2023,newer liver agents,additional  studies,remains
2024,also synthesis Proteopathy References,Curlie  Anemia,refers
2025,AOP,,anemia
2026,primary  mechanism,,decrease
2027,Pathophysiology Preterm infants,heavy blood losses,anemic
2028,anemia,,factors
2029,Blood sampling,enough  anemia,remove enough
2030,Obladen,low birth weight infants,studied
2031,Infants,,divided
2032,Infants,,checked
2033,who,poor weight abdomen,found
2034,reactions,, 
2035,life  infants,decline,experience
2036,,,is
2037,erythropoietin  response,increased  production,stimulates
2038,negative  correlation,2005  study,conducted
2039,as preterm they,39 preterm infants,recruited
2040,They,total  EPO,estimated total
2041,mean,,found
2042,EPO,,goes
2043,reason,,understood
2044,it,RBC mass RBC increase,states
2045,more  it,,occurs
2046,infants kg birth <,those  illnesses,kg
2047,term infants term it,,referred
2048,infants  decline,enough  transfusions,associated
2049,blood transfusion blood indications,,treated
2050,Blood transfusions,infectious  risks,have
2051,Also blood transfusions,,costly
2052,best  treatment,anemia  amount,prevention
2053,excess  what,,found
2054,when phlebotomy overdraw,study,performed
2055,data  that,intensive care unit,intermediate intensive
2056,Infants,,classified
2057,volume,blood  weight,calculated
2058,1.8 19.0 %,tests blood that,found
2059,main  factors,,collection
2060,EPO Recombinant EPO EPO,red blood cell production,given
2061,Brown,same week dose,studied
2062,frequent  dosing,significant  increase,established
2063,infants reticulocyte that,two  dosages,had higher
2064,response,,noted
2065,study,also  responses,showed
2066,Infants,500 28 U/kg,recruited
2067,who,higher Hb counts,found
2068,weeks  infants,,present
2069,date  studies,mixed r-EPO results,had mixed
2070,Ohls,118 1000–1250 g,examined
2071,week  they,gestational  age,received
2072,use,average  number,decrease
2073,r-EPO close,early  r-EPO,studied early
2074,group  who,r-EPO,compared
2075,Infants,9 3 mg/kg,received
2076,investigators,4 % control group,reported
2077,selected  subpopulation,,likely
2078,what,infants  numbers,state
2079,routine EPO use,young transfusion confusion,concluded
2080,management Other Transfusion management strategies,reduction,involve
2081,laboratory blood testing,unique blood transfusions,offers
2082,practice,,referred
2083,premature blood tests,less  volume,decrease
2084,NICU  that,retrospective chart review,done
2085,bench top laboratory analysis,year Radiometer Blood Gas,done
2086,blood gas analysis,point-of-care  analyzer,performed
2087,estimated blood loss,,determined based
2088,estimated 30 % reduction,,found
2089,modern  that,thereby  need,concluded
2090,– Tawil Andersen – syndrome,several QT parts,disorder
2091,predominant  features,syndrome Andersen – disturbances,include
2092,– Tawil Andersen – syndrome,,inherited
2093,ion transports,ion that,caused
2094,implantable  defibrillator,,treated
2095,Periodic  paralysis,,treated
2096,condition,one  person,rare
2097,significant Ellen contributions,,described
2098,physical – Tawil some,those  aspects,comprises
2099,heart,heart,affects
2100,This,ventricular heart palpitations,lead
2101,ventricular  tachycardia,often – Tawil form,takes
2102,cardiac  risk,cardiac  death,cause sudden
2103,physical  abnormalities,typically – Tawil head,affect
2104,Abnormalities,lower  jaw,include
2105,key spine feature,abnormal  curvature,include
2106,This,,last
2107,when  levels,,occurs
2108,when potassium levels,,occur
2109,genetic  which,,disorder
2110,condition,,inherited
2111,abnormality Andersen – that,,described
2112,Type 1 Andersen – Tawil,,caused
2113,cases KCNJ2 mutation,,identified
2114,genetic Andersen – mutation,similar potassium ion channel,identified
2115,KCNJ2 gene ion that,potassium ions,forms
2116,IK1 potassium which,normal muscle functions,carries
2117,Pathogenic  mutations,potassium channels potassium channels,alter
2118,Many  mutations,effectively  activity,prevent
2119,changes,flow,disrupt
2120,electrical heart that,individual heart cells,increases
2121,genetic  mutation,potassium /K1 current,disturbs
2122,cell membrane cell that,resting membrane potential,prolongs
2123,to cell membranes,charged muscle ions,cells
2124,decrease,polarity,/K1
2125,contract,ion channels ion polarity,enter
2126,cell,polarised  state,restores
2127,repolarisation Andersen – which,potassium Andersen – rate,decreases
2128,prolonged action potentials,,lead
2129,ventricular  ectopy,,initiated
2130,next  heartbeat,,arise due
2131,conditions  reactivation,further  depolarisation,cause further
2132,Early  afterdepolarisations,,occur
2133,Delayed  afterdepolarisations,,completed
2134,calcium release,net cell membrane,leaves
2135,premature action potential,,triggered
2136,muscle weakness,,arises
2137,action potentials,,means
2138,mechanisms,skeletal  abnormalities,explained
2139,osteoclasts  which,bone growth,include impaired
2140,– Tawil Andersen – syndrome,,diagnosed based
2141,two,,proposed
2142,Genetic  testing,person  which,used
2143,diagnosis,ambulatory ECG monitoring,investigations
2144,prolonged QT interval,other  organs,includes other
2145,ventricular  tachycardia,,occur
2146,intermittent  weakness,,occurs
2147,– Tawil Andersen – syndrome,,cured
2148,However  many,,treated
2149,condition  many,clinical consensus trials,means
2150,sotalol QT drugs,abnormal heart rhythms,avoided
2151,Lists,,found online
2152,also blood these,tendency,avoided
2153,potassium-containing  supplements,blood potassium levels,helpful
2154,gentle  exercise,risk,discouraged
2155,propranolol beta that,effects,reduced
2156,antiarrhythmic  drugs,,helpful
2157,skin cardioverter defibrillator which,automatically  them,benefit
2158,Periodic paralysis Periodic paralysis,carbonic anhydrase inhibitors,improved
2159,200  cases,,rare
2160,condition,one  person,estimated
2161,1971 Rabi who,significant  contributions,named
2162,External  aneurysm,External  links,likened
2163,Aneurysms,,result
2164,Aneurysms,also  point,nidus
2165,word,,dilation
2166,rupture  which,,increases
2167,lethal blood examples,aortic thoracic aorta,include
2168,Aneurysms,,arise
2169,,,are congenital
2170,Classification Aneurysms,,classified
2171,true  that,three  layers,one
2172,myocardial  that,layers,include atherosclerotic
2173,trauma  that,artery,thrombose
2174,Morphology Aneurysms,,classified
2175,shape,base  chance,specific
2176,that,main  area,range
2177,diameter  diameters,,extend
2178,location  arterial,large  portions,involve large
2179,,,heart
2180,,,aorta
2181,,,brain
2182,,,legs
2183,,,kidney
2184,,,aneurysms
2185,artery  which,,occur
2186,This,severe  strokes,cause severe
2187,common  sites,,artery
2188,aortic Size aneurysms,,divided
2189,aneurysm,,defined
2190,5.5  aneurysm,5.5  cm,considered
2191,Aneurysm presentation,,classified
2192,Cerebral aneurysm Symptoms,,differ
2193,aneurysm,,depend
2194,,,be
2195,hemorrhage balance Speech Severe,magnetic resonance imaging,occur
2196,aorta  that,%  larger,considered aneurysmal
2197,rare  cases,back  pain,asymptomatic
2198,Renal,Connective tissue disorders,aneurysm
2199,diagnostic  criteria,intracranial aneurysmsA minority,include
2200,malformations Pathophysiology Aneurysms,Berry aneurysms,include
2201,Multiple  factors,factors blood vessel wall,contribute
2202,pressure,further vessel wall,injure
2203,treatment  aneurysms,,progress
2204,,,Infection
2205,process  that,arterial  wall,aneurysm
2206,person,bacterial  infection,has
2207,One,,endocarditis
2208,common  locations,arteries,include
2209,mycotic  aneurysm,,result
2210,3  %,,aneurysms
2211,,,Syphilis
2212,aorta  which,,manifests
2213,,,deficiency
2214,copper deficiency copper which,oxidase enzyme oxidase elastin,caused
2215,Copper deficiency,,results
2216,them,,prone
2217,vessels  which,stress-strain  curve,look
2218,J-shaped stress-strain which,J-shaped stress-strain curve,follows
2219,large  amount,,strain
2220,curve  which,,lower
2221,Toughness,,defined
2222,propagation blood vessel wall,pressure,withstand
2223,healthy blood vessels,greater  stability,have greater
2224,Blood vessels,,influence
2225,aid  aneurysms,,understood
2226,pressure  it,,pop
2227,elastic  that,elastic  instabilities,has elastic
2228,radius  stiffness,,increases
2229,,,stiffness
2230,material curve that,crack propagation,values
2231,,,differences
2232,2.2 volume which,54.8 volume %,have
2233,ultimate tensile strength,rupture,found
2234,54.2  which,,found
2235,wall  aneurysms,lower  rupture,have
2236,vessel  they,risk,difficult due
2237,Diagnosis Diagnosis,commonly  signs,made
2238,lumbar  puncture,blood,performed
2239,Computed tomography angiography,,alternative
2240,test,regular CT scan,combines
2241,arteries  images,CT scan,travels
2242,how  blood,,show
2243,Historically  treatment,,limited
2244,decision-making  that,geometrical AAA nuances,is
2245,minimally  techniques,,developed
2246,Aneurysm clips,,used
2247,,,are
2248,literature  treatment,,is
2249,Surgical  clipping,,introduced
2250,It,craniotomy  base,consists
2251,surgical  technique,,modified
2252,Endovascular coiling,,introduced
2253,It,catheter,consists
2254,Platinum coils,successful aneurysm rupture,initiate
2255,flow diverter,,used
2256,bypass graft bypass that,,replaced
2257,Instead graft tube,,ends
2258,stent  grafts,aorta dissection aorta airtight,developed
2259,%  rupture,,rare
2260,Conservative  treatment,,option
2261,endovascular  repair,,considered
2262,Pregnant  women,,treated
2263,Epidemiology Incidence rates,,estimated
2264,adults risk females,more  aneurysms,expected
2265,They,35  –,prevalent
2266,Aneurysms,,rare
2267,common  incidence,,50-year-olds
2268,Most  aneurysms,,develop
2269,aneurysms Pediatric aneurysms aneurysms,different  incidences,have different
2270,Intracranial hemorrhages,Most  patients,rare
2271,aneurysms 3D that,particular  aneurysm,lower
2272,it,computational fluid dynamics,apply computational
2273,One  risk,,rupture
2274,Analyzing,resulting wall shear stress,leads
2275,neck,,most
2276,When wall shear stress,limit,reaches
2277,Conversely  risk,,creation
2278,which,blood flow,create
2279,diverted blood flow,vortex,creates
2280,which,formations,lead
2281,when  clot,blood flow,dislodge
2282,risky  aneurysms,,allows
2283,past  aneurysms,,modeled
2284,ability,aneurysms,becomes easier
2285,CT 3D computer that,correct  geometry,able
2286,Aneurysms,,shape
2287,accurately  that,accurately  aneurysm,optimizing
2288,Current  modeling,variables,able
2289,example  blood,,considered
2290,instead  it,negligible  effects,treat
2291,,small  vessels,analyzing small
2292,vessels wall researchers,wall thickness,difficult
2293,Researchers,computational  time,make
2294,misdiagnosis  that,life,lead
2295,aortic Thomas Mikal who,aortic Thomas Mikal Ford,suffered
2296,He,,52
2297,Stuart Sutcliffe Stuart who,,died
2298,cerebral aneurysm Geoffrey who,cerebral aneurysm Geoffrey Thompson,hosted
2299,Edwin Rosario,,died
2300,Joni Mitchell,brain aneurysm,suffered
2301,Grant Imahara,,died
2302,Dr. Dre,brain aneurysm,suffered
2303,Valsalva  aneurysm,small  pouches,has
2304,Aneurysms,coronary  sinus,affect
2305,large,shortness,cause
2306,chambers  which,,burst
2307,Aortic sinus aneurysms,,occur
2308,They,magnetic  scan,diagnosed
2309,surgical blood pressure repair,blood pressure control,includes
2310,medical  imaging,,asymptomatic
2311,most  common,,shortness
2312,more  presentations,,stroke
2313,ruptured  aneurysm,progressively heart failure,leads
2314,aneurysm,aortic wall syphilis,rupture due
2315,where  sinus,,appear
2316,continuous pressure type,,heard
2317,murmur,,located
2318,It,,accompanied
2319,Valsalva Sinus abscess,surgical  emergency,represents
2320,,type,congenital
2321,bicuspid aortic bicuspid hypoplastic,heart syndrome,associated
2322,first  step,,echocardiography
2323,additional  studies,sufficient  detail,recommended
2324,studies,transesophageal echocardiography,include
2325,Cardiac  MRI,,option
2326,Treatment Medical Treatment therapy,sinus blood pressure control,includes
2327,approach,,repair
2328,ruptured 2 aneurysm,surgery,based
2329,technique  wire,,introduced
2330,closure device,wire  site,advanced
2331,aneurysm ruptures life expectancy,,years
2332,Surgery,1 % risk,carries
2333,Epidemiology Aneurysms,0.09  %,estimated
2334,Rupture,,occur
2335,Rupture,,five
2336,,first  description,History
2337,External aneurysm links,Angina,See
2338,arteries  that,blood,obstruction
2339,Other  causes,anemia,include
2340,main  mechanism,,atherosclerosis
2341,term,,derives
2342,infarction heart attack,,is
2343,cases  angina,,severe
2344,century  this,,sign
2345,therapies  outlook,,improved
2346,angina  grading,15 survival minutes,have
2347,heart they,medical  attention,require urgent
2348,effort angina effort this,,known
2349,angina  that,,is
2350,Symptoms,several  minutes,abate several
2351,stable  angina,,thought of
2352,,cold  weather,recognized
2353,pectoris  that,,defined
2354,rest crescendo which,10  minutes,occurs
2355,differentiates,stable  angina,pathophysiology
2356,pathophysiology,,reduction
2357,ischemia  which,thrombosis,progresses
2358,22:00  patients,,show
2359,developing  atheroma,,protected
2360,angina blood clots,further  area,rupture
2361,unstable  angina,,explains
